Clicked At,Replied At,Data Entered At,Attachment Opened At,Macro Enabled At,QR Code Scanned At,Opened At,Reported,Scheduled,Delivered At,Job Title,Division,Browser,Browser Version,Operating System,Email Template,Current PPP,Risk Score,Department,
,,,,,,,,1/21/25 17:01,1/21/25 17:01,Student,Undergraduate-Continuing-Northfield Campus-College of Liberal Arts,,,,Marriott: We're sorry. Here is a free 2-night stay at any Marriott location. (Link) (Credentials Landing Page),0.0338983,46.0773,ADMISSIONS,
,,,,,,1/20/25 16:57,,1/20/25 16:05,1/20/25 16:05,Administration,EMP CAREER DEVELOPMENT,,,,UPS: Service Temporarily Unavailable (QR Code),0.015748,48.4582,CAREER DEVELOPMENT,
,,,,,,,,1/22/25 20:08,1/22/25 20:08,Administration,EMP UNIVERSITY MUSEUM,,,,Slack: Mandatory mobile app update (QR Code),0.0617284,42.605,UNIVERSITY MUSEUM,
,,,,,,,,1/21/25 15:18,1/21/25 15:18,Administration,,,,,LinkedIn: Join my network on LinkedIn (Link),0.0277778,46.0773,,
,,,,,,1/22/25 17:02,1/22/25 17:02,1/22/25 16:58,1/22/25 16:58,Administration,EMP CHIEF OF STAFF,,,,Starbucks: Forgot Password (Link),0.0227273,39.1328,COLLEGE OF GRAD & CONT STUDIES-GAO,
,,,,,,1/22/25 23:58,,1/22/25 17:44,1/22/25 17:44,Administration,EMP ATHLETIC ADMINISTRATION,,,,HelloFresh: Thanks for your purchase! (PDF Attachment),0.0652174,42.8365,ATHLETIC ADMINISTRATION,
,,,,,,,,1/22/25 15:49,1/22/25 15:49,Administration,EMP COLLEGE OF LIBERAL ARTS-ADMIN,,,,Amazon: Your Amazon Order of AirPods Pro (2nd Generation) Wireless Earbuds (Link) (QR Code),0.0315789,39.1328,COLLEGE OF LIBERAL ARTS-ADMIN,
,,,,,,,,1/22/25 15:14,1/22/25 15:14,Administration,EMP MS INFORMATION SYSTEMS,,,,Netflix: Your Netflix account is on hold! (Link) (Credentials Landing Page),0,39.1328,BS COMPUTER SCI INF SYSTEMS,
,,,,,,1/21/25 14:27,1/21/25 14:27,1/20/25 18:18,1/20/25 18:18,Administration,EMP BS IN CYBER SECURITY - BSCS,,,,Authorize Pending Transaction on your Wallet (Link),0.0232558,43.7625,BS IN CYBER SECURITY - BSCS,
,,,,,,,,1/22/25 15:58,1/22/25 15:58,Administration,EMP MA IN INTERNATIONAL RELATIONS - MIR,,,,Slack: Mandatory mobile app update (QR Code),0.008,46.0773,MA IN INTERNATIONAL RELATIONS - MIR,
,,,,,,,,1/21/25 18:49,1/21/25 18:49,Administration,,,,,LinkedIn: Install LinkedIn Secure app (Link),0,38.3882,CURRENT RESTRICTED - GRANTS,
,,,,,,1/22/25 15:28,1/22/25 15:28,1/22/25 15:27,1/22/25 15:27,Administration,EMP COLLEGE OF GRAD & CONT STUDIES-GAO,,,,Crypto University Giveaway (Link),0,39.1328,COLLEGE OF GRAD & CONT STUDIES-GAO,
,,,,,,,,1/21/25 18:48,1/21/25 18:48,Administration,EMP NO CONTRACT,,,,Authorize Pending Transaction on your Wallet (Link),0.0204082,41.0773,MAH-MASTER OF ARTS IN HISTORY,
,,,,,,1/21/25 20:15,1/21/25 20:15,1/20/25 21:49,1/20/25 21:49,Administration,EMP REGISTRAR OFFICE,,,,Dick's: Congratulations! (QR Code),0,39.1328,REGISTRAR OFFICE,
,,,,,,,,1/20/25 19:39,1/20/25 19:39,Administration,EMP VP - STUDENT AFFAIRS,,,,Parking Ticket Refund (Link),0.0381679,39.1328,VP - STUDENT AFFAIRS,
,,,,,,,,1/20/25 15:52,1/20/25 15:52,Administration,EMP SUMMER SCHOOL,,,,Chipotle: Go BOGO with our mobile app! (QR Code),0,42.605,SUMMER SCHOOL,
,,,,,,,,1/21/25 17:31,1/21/25 17:31,Administration,EMP MASTERS SCIENCE NURSING - MSN,,,,Expedia: Pack your bags! Your trip is booked. (QR Code),0.0246914,44.4106,MASTERS SCIENCE NURSING - MSN,
,,,,,,1/21/25 22:47,1/22/25 13:16,1/21/25 21:54,1/21/25 21:54,Administration,EMP VP - STUDENT AFFAIRS,,,,UPS: Service Temporarily Unavailable (QR Code),0,39.1328,COMDNT CADETS,
,,,,,,,,1/20/25 21:51,1/20/25 21:52,Administration,,,,,LinkedIn: Install LinkedIn Secure app (Link),0,46.0773,,
,,,,,,1/21/25 4:11,1/21/25 0:54,1/20/25 17:13,1/20/25 17:13,Administration,EMP CHEMISTRY AND BIOCHEMISTRY,,,,Panera Bread: Free Sandwich! (Link),0.0285714,40.2902,CHEMISTRY AND BIOCHEMISTRY,
,,,,,,,,1/22/25 16:40,1/22/25 16:40,Administration,EMP OFFICE OF COMMUNICATIONS,,,,Dick's: Congratulations! (QR Code),0.00847458,46.0773,MARKETING & COMMUNICATIONS OFFICE,
,,,,,,,,1/21/25 18:57,1/21/25 18:57,Administration,EMP NO CONTRACT,,,,Netflix: Your Netflix account is on hold! (Link) (Credentials Landing Page),0.010101,46.0773,MAH-MASTER OF ARTS IN HISTORY,
,,,,,,,,1/22/25 19:04,1/22/25 19:04,Administration,,,,,Dick's: Congratulations! (QR Code),0,38.3882,,
,,,,,,,,1/21/25 15:52,1/21/25 15:52,Administration,,,,,It's Girl Scout Cookie Time! (QR Code) (Spoofs Domain),0,39.1328,MS INFO SECURITY & ASSURANCE,
,,,,,,,,1/22/25 15:12,1/22/25 15:12,Administration,,,,,Starbucks: Ready for a Starbucks coffee break? (Link),0,46.0773,,
,,,,,,,,1/21/25 21:34,1/21/25 21:35,Administration,,,,,Instagram: Unidentified Device (Link) (Credentials Landing Page),0,46.0773,FAC OPER PLANT ADMIN,
,,,,,,1/21/25 3:04,1/20/25 18:02,1/20/25 18:01,1/20/25 18:01,Administration,EMP ALUMNI RELATIONS,,,,Dick's: Congratulations! (QR Code),0.0392157,44.9199,ALUMNI RELATIONS,
,,,,,,1/21/25 13:56,,1/21/25 13:21,1/21/25 13:21,Administration,,,,,Would you mind taking a look at this invoice? (Link) (Spoofs Domain) (Credentials Landing Page),0,46.0773,SUMMER SCHOOL,
,,,,,,1/26/25 5:33,,1/21/25 15:31,1/21/25 15:31,Administration,EMP DISTANCE MBA PROGRAM,,,,Would you mind taking a look at this invoice? (Link) (Spoofs Domain) (Credentials Landing Page),0.0350877,46.0773,DISTANCE MBA PROGRAM,
,,,,,,,,1/22/25 21:49,1/22/25 21:49,Administration,EMP BS IN STRATEGIC STUDIES (BSSSDA),,,,EA Playstation Account Notification (Link) (QR Code),0.0366972,42.605,BS IN STRATEGIC STUDIES (BSSSDA),
,,,,,,,,1/22/25 20:29,1/22/25 20:29,Administration,EMP NURSING,,,,Someone sent you a Mother's Day ecard! (Link) (Credentials Landing Page),0,46.0773,NURSING,
,,,,,,,,1/21/25 14:31,1/21/25 14:32,Administration,EMP MS INFORMATION SYSTEMS,,,,Marriott: We're sorry. Here is a free 2-night stay at any Marriott location. (Link) (Credentials Landing Page),0.0266667,46.0773,MS INFORMATION SYSTEMS,
,,,,,,,,1/21/25 15:01,1/21/25 15:01,Administration,EMP MASTERS SCIENCE NURSING - MSN,,,,Get Spotify Premium for Free! (QR Code),0,41.4476,MASTERS SCIENCE NURSING - MSN,
,,,,,,,,1/21/25 15:01,1/21/25 15:01,Administration,EMP CRIMINOLOGY AND CRIMINAL JUSTICE,,,,Get Spotify Premium for Free! (QR Code),0.126582,46.0773,CRIMINOLOGY AND CRIMINAL JUSTICE,
,,,,,,,,1/21/25 20:24,1/21/25 20:24,Administration,EMP ATHLETIC ADMINISTRATION,,,,Someone sent you a Mother's Day ecard! (Link) (Credentials Landing Page),0,46.0773,FOOTBALL,
,,,,,,1/22/25 22:04,1/22/25 22:04,1/22/25 20:50,1/22/25 20:50,Administration,,,,,Your Facebook Ads Receipt (Link) (PDF Attachment),0.0377358,39.1328,MARKETING & COMMUNICATIONS OFFICE,
,,,,,,,,1/20/25 21:30,1/20/25 21:30,Administration,,,,,Dick's: Congratulations! (QR Code),0,46.0773,CRIMINOLOGY AND CRIMINAL JUSTICE,
,,,,,,1/21/25 3:34,,1/20/25 19:46,1/20/25 19:46,Administration,,,,,EA Playstation Account Notification (Link) (QR Code),0,46.0773,SCHOOL OF BUSINESS,
,,,,,,1/21/25 14:50,1/21/25 14:50,1/21/25 14:49,1/21/25 14:49,Administration,EMP COLLEGE OF GRAD & CONT STUDIES-GAO,,,,Crypto University Giveaway (Link),0,39.1328,COLLEGE OF GRAD & CONT STUDIES-GAO,
,,,,,,,,1/21/25 19:44,1/21/25 19:44,Administration,,,,,Your Facebook Ads Receipt (Link) (PDF Attachment),0,41.7215,FAC OPER PLANT ADMIN,
,,,,,,1/22/25 18:54,1/22/25 18:54,1/22/25 18:53,1/22/25 18:53,Administration,EMP COLLEGE OF LIBERAL ARTS-ADMIN,,,,Starbucks: Forgot Password (Link),0.0289855,39.1328,COLLEGE OF LIBERAL ARTS-ADMIN,
,,,,,,,,1/20/25 18:04,1/20/25 18:04,Administration,EMP NO CONTRACT,,,,Get Spotify Premium for Free! (QR Code),0,46.0773,DISTANCE MBA PROGRAM,
,,,,,,1/22/25 3:57,,1/21/25 14:43,1/21/25 14:43,Administration,EMP NO CONTRACT,,,,Would you mind taking a look at this invoice? (Link) (Spoofs Domain) (Credentials Landing Page),0.0263158,46.0773,BS IN CYBER SECURITY - BSCS,
,,,,,,,,1/21/25 13:09,1/21/25 13:09,Administration,EMP ALUMNI RELATIONS,,,,T-Mobile: Win the new Iphone Xs with T-Mobile (Link),0.0188679,44.9199,ALUMNI RELATIONS,
,,,,,,,,1/21/25 19:11,1/21/25 19:11,Administration,EMP DEAN OF STUDENTS,,,,Hello All Cat Lovers!!!!! (Link),0,46.0773,DEAN OF STUDENTS,
,,,,,,,,1/22/25 13:14,1/22/25 13:14,Administration,EMP MASTERS SCIENCE NURSING - MSN,,,,UPS: Service Temporarily Unavailable (QR Code),0.0465116,48.3921,MASTERS SCIENCE NURSING - MSN,
,,,,,,,,1/22/25 13:03,1/22/25 13:03,Administration,,,,,It's Girl Scout Cookie Time! (QR Code) (Spoofs Domain),0,46.0773,,
,,,,,,,,1/20/25 19:24,1/20/25 19:24,Administration,EMP NURSING,,,,EA Playstation Account Notification (Link) (QR Code),0.0172414,46.0773,NURSING,
,,,,,,1/22/25 21:04,1/22/25 21:04,1/22/25 20:24,1/22/25 20:24,Administration,EMP KREITZBERG LIBRARY,,,,HelloFresh: Thanks for your purchase! (PDF Attachment),0,34.1328,KREITZBERG LIBRARY,
,,,,,,,,1/22/25 20:41,1/22/25 20:41,Administration,,,,,Dick's: Congratulations! (QR Code),0,38.3882,,
,,,,,,,,1/21/25 20:54,1/21/25 20:54,Administration,EMP CIVIL ENGINEERING,,,,Your Facebook Ads Receipt (Link) (PDF Attachment),0,46.0773,CIVIL ENGINEERING,
,,,,,,1/21/25 12:15,1/21/25 12:15,1/20/25 18:06,1/20/25 18:06,Administration,EMP CGCS 2.0,,,,LinkedIn: Install LinkedIn Secure app (Link),0.00970874,39.1328,COLLEGE OF GRAD & CONT STUDIES-GAO,
,,,,,,,,1/22/25 19:07,1/22/25 19:07,Administration,EMP FAC OPER PLANT ADMIN,,,,Netflix: Your Netflix account is on hold! (Link) (Credentials Landing Page),0,46.0773,FAC OPER PLANT ADMIN,
,,,,,,,,1/22/25 13:45,1/22/25 13:45,Administration,EMP MASTERS SCIENCE NURSING - MSN,,,,Amazon: Your Amazon Order of AirPods Pro (2nd Generation) Wireless Earbuds (Link) (QR Code),0.0697674,46.0773,MASTERS SCIENCE NURSING - MSN,
,,,,,,1/22/25 17:19,1/22/25 17:19,1/22/25 17:17,1/22/25 17:17,Administration,,,,,jetBlue: Chance to win a FREE upgrade on your flight to New York! (Link),0,31.4437,ADMISSIONS,
,,,,,,1/22/25 20:54,,1/22/25 18:49,1/22/25 18:49,Administration,EMP ATHLETIC ADMINISTRATION,,,,Would you mind taking a look at this invoice? (Link) (Spoofs Domain) (Credentials Landing Page),0.0326087,46.0773,BASKETBALL MEN,
,,,,,,1/23/25 2:11,1/22/25 15:49,1/22/25 15:25,1/22/25 15:25,Administration,EMP IT USER SERVICES,,,,Marriott: We're sorry. Here is a free 2-night stay at any Marriott location. (Link) (Credentials Landing Page),0,39.1328,IT USER SERVICES,
,,,,,,,,1/20/25 15:52,1/20/25 15:52,Administration,EMP FAC OPER PLANT ADMIN,,,,Expedia: Pack your bags! Your trip is booked. (QR Code),0,46.0773,FAC OPER PLANT ADMIN,
,,,,,,1/21/25 14:30,1/21/25 14:30,1/20/25 21:38,1/20/25 21:38,Administration,EMP MODERN LANGUAGES,,,,Starbucks: Ready for a Starbucks coffee break? (Link),0.0336134,41.4476,MODERN LANGUAGES,
,,,,,,,,1/22/25 16:29,1/22/25 16:29,Administration,EMP DEGREE COMPLETION - GAO,,,,Netflix Alerts: The Wait is Over! (Link),0,43.7625,DEGREE COMPLETION - GAO,
,,,,,,,,1/21/25 13:03,1/21/25 13:03,Administration,EMP FAC OPER PLANT ADMIN,,,,Marriott: We're sorry. Here is a free 2-night stay at any Marriott location. (Link) (Credentials Landing Page),0,38.3882,Security,
,,,,,,,,1/22/25 18:22,1/22/25 18:22,Administration,,,,,Panera Bread: Free Sandwich! (Link),0,31.4437,,
,,,,,,1/20/25 16:03,1/20/25 16:03,1/20/25 15:12,1/20/25 15:13,Administration,EMP FINANCIAL AFFAIRS,,,,Amazon: Amazon Renewal (Link),0.0125,38.9476,FINANCIAL AFFAIRS,
,,,,,,,,1/21/25 14:42,1/21/25 14:42,Administration,,,,,Get Spotify Premium for Free! (QR Code),0,46.0773,LEADERSHIP CENTER,
,,,,,,1/21/25 20:39,1/21/25 20:39,1/21/25 20:38,1/21/25 20:38,Administration,EMP MASTERS SCIENCE NURSING - MSN,,,,EA Playstation Account Notification (Link) (QR Code),0.05,39.1328,MASTERS SCIENCE NURSING - MSN,
,,,,,,,,1/21/25 19:44,1/21/25 19:44,Administration,,,,,Marriott: We're sorry. Here is a free 2-night stay at any Marriott location. (Link) (Credentials Landing Page),0,44.9199,CURRENT RESTRICTED - GRANTS,
,,,,,,,,1/20/25 21:53,1/20/25 21:53,Administration,EMP COMDNT CADETS,,,,Amazon: Amazon Renewal (Link),0,44.9199,COMDNT CADETS,
,,,,,,,,1/22/25 18:16,1/22/25 18:16,Administration,EMP NO CONTRACT,,,,LinkedIn: Install LinkedIn Secure app (Link),0,46.0773,MASTERS SCIENCE NURSING - MSN,
,,,,,,,,1/22/25 17:32,1/22/25 17:32,Administration,EMP MA-DIPLOMACY/MILITARY SCIENCE,,,,Netflix: Your Netflix account is on hold! (Link) (Credentials Landing Page),0,38.3882,MA-DIPLOMACY/MILITARY SCIENCE,
,,,,,,,,1/20/25 14:31,1/20/25 14:34,Administration,EMP DEAN OF STUDENTS,,,,Facebook: Your friend tagged you in photos on Facebook (Link) (SPT),0.0153846,39.1328,DEAN OF STUDENTS,
,,,,,,,,1/22/25 16:07,1/22/25 16:07,Administration,EMP CRIMINOLOGY AND CRIMINAL JUSTICE,,,,Disney: Your Disney account was updated (Link),0,38.3882,CRIMINOLOGY AND CRIMINAL JUSTICE,
,,,,,,,,1/22/25 14:00,1/22/25 14:00,Administration,,,,,Instagram: Unidentified Device (Link) (Credentials Landing Page),0.0263158,46.0773,CRIMINOLOGY AND CRIMINAL JUSTICE,
,,,,,,,,1/20/25 19:02,1/20/25 19:02,Administration,EMP OFFICE OF COMMUNICATIONS,,,,ParkingEye: Parking Ticket Refund (Link),0,40.2902,MARKETING & COMMUNICATIONS OFFICE,
,,,,,,,,1/21/25 20:17,1/21/25 20:17,Administration,,,,,Your School Portraits are now available - Order#24532197 (Link),0,39.0324,IT USER SERVICES,
,,,,,,,,1/21/25 18:56,1/21/25 18:56,Administration,EMP CHEMISTRY AND BIOCHEMISTRY,,,,Ticketmaster: Basketball Season is Here! (QR Code),0.0229008,48.3921,CHEMISTRY AND BIOCHEMISTRY,
,,,,,,1/21/25 16:40,1/21/25 16:40,1/21/25 16:40,1/21/25 16:40,Administration,EMP SCHOOL CYBERSEC DATA SCI COMPUTING,,,,Chase: You have a payment on hold (Link),0.03,42.605,SCHOOL CYBERSEC DATA SCI COMPUTING,
,,,,,,,,1/20/25 16:48,1/20/25 16:48,Administration,EMP EDUCATION,,,,Starbucks: Ready for a Starbucks coffee break? (Link),0,38.3882,EDUCATION,
,,,,,,,,1/21/25 21:53,1/21/25 21:53,Administration,EMP FAC OPER PLANT ADMIN,,,,Amazon: Amazon Renewal (Link),0.0108696,46.0773,FAC OPER PLANT ADMIN,
,,,,,,1/21/25 21:29,,1/21/25 21:14,1/21/25 21:14,Administration,EMP SCHOOL OF BUSINESS,,,,Red Lobster reopening - Thank you for your support (Link),0,46.0773,SCHOOL OF BUSINESS,
,,,,,,,,1/20/25 18:14,1/20/25 18:14,Administration,EMP INTERNATIONAL CENTER,,,,Ticketmaster: Basketball Season is Here! (QR Code),0,41.4476,INTERNATIONAL CENTER,
,,,,,,,,1/20/25 20:05,1/20/25 20:05,Administration,,,,,Amazon: Your Amazon Order of AirPods Pro (2nd Generation) Wireless Earbuds (Link) (QR Code),0,46.0773,DAVID CRAWFORD SCHOOL ENGINEERING,
,,,,,,,,1/22/25 18:04,1/22/25 18:04,Administration,EMP OFFICE OF COMMUNICATIONS,,,,Disney: Your Disney account was updated (Link),0.0425532,48.3921,MARKETING & COMMUNICATIONS OFFICE,
,,,,,,,,1/21/25 16:03,1/21/25 16:03,Administration,EMP COLLEGE OF GRAD & CONT STUDIES-GAO,,,,jetBlue: Chance to win a FREE upgrade on your flight to New York! (Link),0.0234375,46.0773,BIS INTERDISCIPLINARY STUDIES,
,,,,,,,,1/20/25 18:21,1/20/25 18:21,Administration,,,,,Your School Portraits are now available - Order#24532197 (Link),0,46.0773,,
,,,,,,,,1/21/25 17:42,1/21/25 17:42,Administration,EMP FAC OPER PLANT ADMIN,,,,Marriott: We're sorry. Here is a free 2-night stay at any Marriott location. (Link) (Credentials Landing Page),0.00917431,46.0773,FAC OPER PLANT ADMIN,
,,,,,,1/23/25 16:20,,1/22/25 21:51,1/22/25 21:51,Administration,EMP COMDNT CADETS,,,,Disney: Your Disney account was updated (Link),0.138889,53.0217,COMDNT CADETS,
,,,,,,,,1/21/25 20:21,1/21/25 20:21,Administration,EMP ARCHITECTURE,,,,jetBlue: Chance to win a FREE upgrade on your flight to New York! (Link),0.0305344,44.9199,ARCHITECTURE,
,,,,,,,,1/21/25 14:45,1/21/25 14:45,Administration,,,,,Marriott: We're sorry. Here is a free 2-night stay at any Marriott location. (Link) (Credentials Landing Page),0.133333,50.7069,COMDNT CADETS,
,,,,,,,,1/22/25 18:11,1/22/25 18:11,Administration,EMP MODERN LANGUAGES,,,,It's Girl Scout Cookie Time! (QR Code) (Spoofs Domain),0.0232558,46.0773,MODERN LANGUAGES,
1/21/25 15:44,,,,,,1/21/25 15:44,,1/21/25 15:14,1/21/25 15:14,Administration,,Microsoft Edge,131,windows,VIP Executive Reception Invitation (Link) (Spoofs Domain),0.0666667,48.3921,,
,,,,,,1/20/25 15:29,1/20/25 15:29,1/20/25 15:27,1/20/25 15:27,Administration,,,,,T-Mobile: Win the new Iphone Xs with T-Mobile (Link),0.0588235,33.7586,MATHEMATICS,
,,,,,,1/22/25 18:34,1/22/25 18:34,1/22/25 18:33,1/22/25 18:33,Administration,EMP CIVIL ENGINEERING,,,,Ticketmaster: Are you ready for some football?! (Link) (QR Code),0.0227273,39.1328,CIVIL ENGINEERING,
,,,,,,1/22/25 16:01,,1/22/25 16:01,1/22/25 16:01,Student,Undergraduate-Continuing-Northfield Campus-College of Liberal Arts,,,,"HelloFax: HelloFax, Someone Sent You a Fax (Link)",0.0571429,40.703,UNIFORM PROCUREMENT,
,,,,,,,,1/21/25 15:57,1/21/25 15:57,Administration,EMP MASTERS SCIENCE NURSING - MSN,,,,Chipotle: Go BOGO with our mobile app! (QR Code),0.0246914,48.3921,MASTERS SCIENCE NURSING - MSN,
,,,,,,1/21/25 19:13,,1/21/25 16:46,1/21/25 16:46,Student,UG Student C3,,,,Instagram: Unidentified Device (Link) (Credentials Landing Page),0.0155039,46.0773,TRAINING ROOM,
,,,,,,,,1/22/25 18:48,1/22/25 18:48,Administration,,,,,Crypto University Giveaway (Link),0,46.0773,Nursing,
,,,,,,,,1/20/25 17:48,1/20/25 17:48,Administration,,,,,Chase: You have a payment on hold (Link),0,38.3882,,
,,,,,,,,1/22/25 20:27,1/22/25 20:27,Administration,EMP FINANCIAL AID OFFICE,,,,Dick's: Congratulations! (QR Code),0.0784314,42.605,FINANCIAL AID OFFICE,
,,,,,,,,1/22/25 14:21,1/22/25 14:21,Administration,EMP MASTERS SCIENCE NURSING - MSN,,,,Get Spotify Premium for Free! (QR Code),0.0305344,39.1328,COLLEGE OF GRAD & CONT STUDIES-GAO,
,,,,,,,,1/22/25 17:05,1/22/25 17:05,Administration,,,,,Instagram: Unidentified Device (Link) (Credentials Landing Page),0,46.0773,PSYCHOLOGY,
,,,,,,1/20/25 19:56,,1/20/25 16:11,1/20/25 16:11,Administration,EMP ATHLETIC ADMINISTRATION,,,,Navy Federal: Your deposit is on hold (Link),0.0227273,48.3921,CROSS COUNTRY,
,,,,,,1/22/25 21:05,1/22/25 21:05,1/22/25 20:33,1/22/25 20:33,Administration,,,,,Get Spotify Premium for Free! (QR Code),0,31.4437,,
,,,,,,1/22/25 13:54,,1/22/25 13:17,1/22/25 13:17,Administration,EMP ELECTRICAL AND COMPUTER ENGINEERING,,,,Parking Ticket Refund (Link),0,46.0773,ELECTRICAL AND COMPUTER ENGINEERING,
,,,,,,,,1/20/25 19:00,1/20/25 19:00,Administration,EMP FAC OPER PLANT ADMIN,,,,Red Lobster reopening - Thank you for your support (Link),0.0526316,39.1328,FAC OPER PLANT ADMIN,
,,,,,,,,1/21/25 16:00,1/21/25 16:00,Administration,EMP FAC OPER PLANT ADMIN,,,,Your School Portraits are now available - Order#24532197 (Link),0.008,46.0773,FAC OPER PLANT ADMIN,
,,,,,,,,1/20/25 15:50,1/20/25 15:50,Administration,EMP CRIMINOLOGY AND CRIMINAL JUSTICE,,,,Expedia: Pack your bags! Your trip is booked. (QR Code),0.0381679,39.1328,CRIMINOLOGY AND CRIMINAL JUSTICE,
,,,,,,,,1/20/25 21:36,1/20/25 21:36,Administration,EMP CURRENT RESTRICTED - GRANTS,,,,LinkedIn: Who's searching for you online? (Link),0,46.0773,CURRENT RESTRICTED - GRANTS,
,,,,,,,,1/22/25 17:17,1/22/25 17:17,Administration,,,,,Disney: Your Disney account was updated (Link),0,46.0773,,
,,,,,,,,1/20/25 21:54,1/20/25 21:54,Administration,,,,,"HelloFax: HelloFax, Someone Sent You a Fax (Link)",0.0714286,48.3921,,
,,,,,,1/22/25 1:27,,1/21/25 17:23,1/21/25 17:23,Administration,,,,,Hello All Cat Lovers!!!!! (Link),0.030303,46.0773,MAJOR GIFTS OPERATIONS,
,,,,,,,,1/20/25 21:37,1/20/25 21:37,Administration,EMP MA IN MILITARY HISTORY,,,,Chipotle: Go BOGO with our mobile app! (QR Code),0.10687,39.1328,MA IN MILITARY HISTORY,
1/20/25 20:33,,,,,,1/20/25 20:33,,1/20/25 20:32,1/20/25 20:32,Administration,EMP ATHLETIC ADMINISTRATION,Chrome,131,windows,Facebook: Your friend tagged you in photos on Facebook (Link) (SPT),0.0373134,48.3921,BASKETBALL MEN,
,,,,,,1/20/25 20:12,,1/20/25 15:56,1/20/25 15:56,Administration,EMP MANAGEMENT,,,,Amazon: Amazon Renewal (Link),0.0227273,46.0773,MANAGEMENT,
,,,,,,1/20/25 19:32,1/20/25 19:32,1/20/25 19:16,1/20/25 19:16,Administration,EMP OFFICE OF ACADEMIC RESEARCH,,,,Amazon: Amazon Renewal (Link),0.030303,39.1328,OFFICE OF ACADEMIC RESEARCH,
,,,,,,,,1/22/25 18:26,1/22/25 18:26,Administration,EMP BS IN CYBER SECURITY - BSCS,,,,Netflix Alerts: The Wait is Over! (Link),0.0190476,39.1328,BS IN CYBER SECURITY - BSCS,
,,,,,,1/23/25 1:55,1/23/25 1:56,1/22/25 21:20,1/22/25 21:20,Administration,EMP NO CONTRACT,,,,Would you mind taking a look at this invoice? (Link) (Spoofs Domain) (Credentials Landing Page),0.0350877,39.1328,ENGLISH,
,,,,,,,,1/20/25 21:37,1/20/25 21:37,Administration,EMP BS IN CRIMINAL JUSTICE (BSCJ),,,,eFax: Urgent - Confirm account to receive important fax (Link),0.0387597,46.0773,BS IN CRIMINAL JUSTICE (BSCJ),
,,,,,,,,1/20/25 15:07,1/20/25 15:07,Administration,EMP FAC OPER PLANT ADMIN,,,,Instagram: Unidentified Device (Link) (Credentials Landing Page),0,46.0773,FAC OPER PLANT ADMIN,
,,,,,,1/21/25 20:14,1/21/25 20:14,1/21/25 18:06,1/21/25 18:06,Administration,EMP CURRENT RESTRICTED - OTHER,,,,Would you mind taking a look at this invoice? (Link) (Spoofs Domain) (Credentials Landing Page),0.016,41.4476,CURRENT RESTRICTED - OTHER,
,,,,,,1/21/25 13:40,1/21/25 16:16,1/21/25 13:20,1/21/25 13:20,Administration,EMP CRIMINOLOGY AND CRIMINAL JUSTICE,,,,Marriott: We're sorry. Here is a free 2-night stay at any Marriott location. (Link) (Credentials Landing Page),0.00787402,39.1328,CRIMINOLOGY AND CRIMINAL JUSTICE,
,,,,,,,,1/21/25 16:02,1/21/25 16:02,Administration,EMP UNIFORM PROCUREMENT,,,,Authorize Pending Transaction on your Wallet (Link),0.101449,46.0773,UNIFORM PROCUREMENT,
,,,,,,,,1/20/25 14:41,1/20/25 14:41,Administration,,,,,Navy Federal: Your deposit is on hold (Link),0.0458716,46.0773,,
,,,,,,,,1/22/25 18:11,1/22/25 18:11,Administration,EMP MA-DIPLOMACY/MILITARY SCIENCE,,,,Kmart: Kmart Deals are Starting Soon! (Link) (PDF Attachment),0.0288462,46.0773,MA-DIPLOMACY/MILITARY SCIENCE,
,,,,,,,,1/21/25 18:48,1/21/25 18:49,Administration,EMP ARCHITECTURE,,,,Chipotle: Go BOGO with our mobile app! (QR Code),0.00757576,43.7625,ARCHITECTURE,
,,,,,,,,1/22/25 19:09,1/22/25 19:10,Administration,EMP MA IN INTERNATIONAL RELATIONS - MIR,,,,EA Playstation Account Notification (Link) (QR Code),0.016,46.0773,MA IN INTERNATIONAL RELATIONS - MIR,
,,,,,,1/20/25 15:27,1/20/25 15:27,1/20/25 15:26,1/20/25 15:26,Administration,EMP BS IN STRATEGIC STUDIES (BSSSDA),,,,Instagram: Unidentified Device (Link) (Credentials Landing Page),0.016,39.1328,COLLEGE OF GRAD & CONT STUDIES-GAO,
,,,,,,,,1/21/25 17:41,1/21/25 17:41,Administration,EMP MANAGEMENT,,,,EA Playstation Account Notification (Link) (QR Code),0.0810811,43.7625,MANAGEMENT,
,,,,,,,,1/20/25 21:27,1/20/25 21:27,Administration,EMP MA IN MILITARY HISTORY,,,,eFax: Urgent - Confirm account to receive important fax (Link),0.0168067,43.2532,COLLEGE OF GRAD & CONT STUDIES-GAO,
,,,,,,1/22/25 23:41,,1/22/25 17:49,1/22/25 17:49,Administration,EMP BS DATA ANALYTICS,,,,Navy Federal: Your deposit is on hold (Link),0.0206186,46.0773,BS DATA ANALYTICS,
,,,,,,1/21/25 15:19,1/21/25 15:19,1/21/25 15:12,1/21/25 15:12,Administration,EMP COLLEGE OF GRAD & CONT STUDIES-GAO,,,,Facebook: Your friend tagged you in photos on Facebook (Link) (SPT),0,39.1328,COLLEGE OF GRAD & CONT STUDIES-GAO,
